UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20221012160300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012160930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012161930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012162930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20221012163500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
