UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20120330185000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330185900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330190900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330191900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330192900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330193900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330194000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330194100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330194200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330194300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330194400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330194500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120330194600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
