UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20120129144800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129144900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129145000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129145100,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9
20120129145200,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9
20120129145300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129145400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129145500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129145600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129145700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129145800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129145900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129150900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20120129151900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
