UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20121216131900,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9
20121216132000,0.0,0.0,0.0,0.0,0.0,0.0,0.2,99.8
20121216132100,0.0,0.0,0.0,0.0,0.0,0.0,0.2,99.8
20121216132200,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9
20121216132300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216132400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216132500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216132600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216132700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216132800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216132900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216133900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216134900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121216135000,0.0,0.0,0.0,0.0,0.0,0.0,0.3,99.7
20121216135100,0.0,0.0,0.0,0.0,0.0,0.0,1.3,98.7
20121216135200,0.0,0.0,0.0,0.0,0.0,0.0,14.5,85.4
20121216135300,0.0,0.0,0.0,0.0,0.0,0.0,11.2,88.7
20121216135400,0.0,0.0,0.0,0.0,0.0,0.0,12.4,87.6
20121216135500,0.0,0.0,0.0,0.0,0.0,0.0,1.1,98.9
20121216135600,0.0,0.0,0.0,0.0,0.0,0.0,1.2,98.8
20121216135700,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.0
20121216135800,0.0,0.0,0.0,0.0,0.0,0.0,6.0,94.0
20121216135900,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0
20121216140000,0.0,0.0,0.0,0.0,0.0,0.0,1.6,98.4
20121216140100,0.0,0.0,0.0,0.0,0.1,0.0,3.1,96.9
20121216140200,0.0,0.0,0.0,0.0,0.0,0.0,1.5,98.5
20121216140300,0.0,0.0,0.0,0.0,0.0,0.0,2.8,97.1
20121216140400,0.0,0.0,0.0,0.0,0.0,0.0,4.8,95.2
20121216140500,0.0,0.0,0.0,0.0,0.0,0.0,0.5,99.5
20121216140600,0.0,0.0,0.0,0.0,0.2,0.0,4.1,95.8
20121216140700,0.0,0.0,0.0,0.0,0.0,0.0,2.5,97.5
20121216140800,0.0,0.0,0.0,0.0,0.0,0.0,0.8,99.2
