UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20130118141300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118141400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118141500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118141600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118141700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118141800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118141900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118142900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118143900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118144900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118145900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150700,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9
20130118150800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130118150900,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9
20130118151000,0.0,0.0,0.0,0.0,0.0,0.0,0.2,99.8
20130118151100,0.0,0.0,0.0,0.0,0.0,0.0,0.6,99.4
20130118151200,0.0,0.0,0.0,0.0,0.0,0.0,3.1,96.9
20130118151300,0.0,0.0,0.0,0.0,0.0,0.0,26.9,73.0
20130118151400,0.0,0.0,0.0,0.1,0.0,0.0,42.2,57.7
20130118151500,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0
20130118151600,0.0,0.0,0.0,0.0,0.0,0.0,78.6,21.4
20130118151700,0.0,0.0,0.0,0.0,0.0,0.0,81.5,18.5
20130118151800,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.5
20130118151900,0.0,0.0,0.0,0.0,0.0,0.0,98.7,1.3
20130118152000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118152900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118153900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118154900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118155900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118160900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118161900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118162900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118163900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164200,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164300,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164400,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164500,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164700,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118164900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20130118165000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
