UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20130105134000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105134900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105135900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105140000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105140100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105140200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105140300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105140400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105140500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105140600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20130105140700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
