UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20131130133500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130133600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130133700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130133800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130133900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130134900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130135900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20131130140000,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.8
20131130140100,0.0,0.0,0.0,0.0,0.1,0.0,0.1,99.7
20131130140200,0.0,0.0,0.0,0.0,0.1,0.0,0.2,99.7
20131130140300,0.0,0.0,0.0,0.0,0.1,0.0,6.7,93.3
20131130140400,0.0,0.0,0.0,0.0,0.2,0.0,5.7,94.1
20131130140500,0.0,0.0,0.0,0.0,0.1,0.0,16.6,83.2
20131130140600,0.0,0.0,0.0,0.0,0.3,0.0,8.2,91.5
20131130140700,0.0,0.0,0.0,0.1,1.2,0.0,31.1,67.6
20131130140800,0.0,0.0,0.0,0.1,0.2,0.0,19.6,80.1
20131130140900,0.0,0.0,0.0,0.1,0.5,0.0,26.5,72.8
20131130141000,0.0,0.0,0.0,0.2,0.3,0.0,6.9,92.7
20131130141100,0.0,0.0,0.0,0.2,1.1,0.0,43.4,55.3
20131130141200,0.0,0.0,0.0,0.1,1.4,0.0,30.2,68.2
20131130141300,0.0,0.0,0.0,0.2,2.8,0.0,46.7,50.2
20131130141400,0.0,0.0,0.0,0.1,3.6,0.0,64.8,31.5
20131130141500,0.0,0.0,0.0,0.2,0.4,0.0,69.2,30.1
20131130141600,0.0,0.0,0.0,0.1,1.0,0.0,76.6,22.3
20131130141700,0.0,0.0,0.0,1.0,2.8,0.0,76.2,20.0
20131130141800,0.0,0.0,0.0,0.7,7.7,0.0,47.6,44.0
20131130141900,0.0,0.0,0.0,0.3,3.9,0.0,44.1,51.6
20131130142000,0.0,0.0,0.0,0.2,0.8,0.0,49.5,49.5
20131130142100,0.0,0.0,0.0,0.2,0.5,0.0,84.5,14.8
20131130142200,0.0,0.0,0.0,0.1,0.3,0.0,77.2,22.3
20131130142300,0.0,0.0,0.0,0.0,0.0,0.0,25.2,74.8
20131130142400,0.0,0.0,0.0,0.0,0.1,0.0,3.9,96.0
20131130142500,0.0,0.0,0.0,0.0,0.9,0.0,14.7,84.4
20131130142600,0.0,0.0,0.0,0.0,0.4,0.0,10.1,89.5
20131130142700,0.0,0.0,0.0,0.0,0.7,0.0,10.2,89.1
20131130142800,0.0,0.0,0.0,0.0,3.4,0.0,3.3,93.3
20131130142900,0.0,0.0,0.0,0.1,7.4,0.0,4.1,88.5
20131130143000,0.0,0.0,0.0,0.1,41.3,0.0,11.0,47.5
20131130143100,0.0,0.0,0.0,0.0,6.9,0.0,8.6,84.4
20131130143200,0.0,0.0,0.0,0.0,7.4,0.0,7.7,84.9
20131130143300,0.0,0.0,0.0,0.1,2.5,0.0,3.0,94.4
20131130143400,0.0,0.0,0.0,0.1,6.1,0.0,23.8,70.0
20131130143500,0.0,0.0,0.1,0.1,5.3,0.0,51.8,42.7
20131130143600,0.0,0.0,0.0,0.1,2.0,0.0,20.9,77.0
20131130143700,0.0,0.0,0.0,0.0,0.5,0.0,0.9,98.6
20131130143800,0.0,0.0,0.0,0.0,0.1,0.0,0.4,99.5
20131130143900,0.0,0.0,0.0,0.0,0.1,0.0,0.1,99.9
20131130144000,0.0,0.0,0.0,0.0,0.5,0.0,2.4,97.0
20131130144100,0.0,0.0,0.0,0.1,55.1,0.0,2.6,42.2
20131130144200,0.0,0.0,0.0,0.1,5.6,0.0,9.3,84.9
20131130144300,0.0,0.0,0.0,0.0,1.1,0.0,2.2,96.7
20131130144400,0.0,0.0,0.0,0.0,1.8,0.0,4.9,93.3
20131130144500,0.0,0.0,0.0,0.0,8.0,0.0,19.5,72.4
20131130144600,0.0,0.0,0.0,0.1,24.3,0.0,7.8,67.9
20131130144700,0.0,0.0,0.0,0.5,22.4,0.0,7.1,70.0
20131130144800,0.0,0.0,0.0,0.6,18.6,0.0,31.6,49.3
20131130144900,0.0,0.0,0.0,0.1,27.6,0.0,8.7,63.6
20131130145000,0.0,0.0,0.0,0.1,14.5,0.1,35.1,50.2
20131130145100,0.0,0.0,0.0,0.1,1.9,0.1,69.4,28.6
20131130145200,0.0,0.0,0.0,0.1,7.4,0.0,27.0,65.4
20131130145300,0.0,0.0,0.0,0.1,3.6,0.0,24.0,72.2
20131130145400,0.0,0.0,0.0,0.1,7.8,0.0,25.2,67.0
20131130145500,0.0,0.0,0.0,0.0,2.1,0.0,45.3,52.5
20131130145600,0.0,0.0,0.0,0.0,8.5,0.0,48.9,42.5
20131130145700,0.0,0.0,0.0,0.0,11.3,0.0,11.0,77.7
20131130145800,0.0,0.0,0.0,0.0,4.6,0.0,39.6,55.7
20131130145900,0.0,0.0,0.0,0.0,1.7,0.0,32.6,65.7
20131130150000,0.0,0.0,0.0,0.0,2.9,0.0,55.2,41.8
20131130150100,0.0,0.0,0.0,0.0,0.8,0.0,81.2,18.0
20131130150200,0.0,0.0,0.0,0.0,1.0,0.0,63.8,35.2
20131130150300,0.0,0.0,0.0,0.0,0.1,0.0,97.7,2.1
20131130150400,0.0,0.0,0.0,0.0,0.2,0.0,96.0,3.8
20131130150500,0.0,0.0,0.0,0.0,0.1,0.0,94.4,5.4
20131130150600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20131130150700,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.1
20131130150800,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20131130150900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20131130151000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20131130151100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20131130151200,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.1
20131130151300,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.1
