UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20190129143800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129143830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129143900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129143930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129144930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129145930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190129150400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
