UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20190107133400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107133930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107134931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190107135001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
