UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20190226162000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226162930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226163930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226164931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226165931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190226170631,0.0,0.0,0.0,0.1,0.0,0.0,0.0,99.9
20190226170701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9
20190226170731,0.0,0.0,0.0,0.1,0.0,0.0,0.0,99.9
20190226170801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9
20190226170831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9
20190226170901,0.0,0.0,0.0,0.1,0.0,0.0,0.1,99.7
20190226170931,0.0,0.0,0.0,0.1,0.0,0.0,0.1,99.9
20190226171001,0.0,0.0,0.0,0.2,0.0,0.0,0.3,99.5
20190226171031,0.0,0.0,0.0,0.1,0.0,0.0,0.2,99.7
20190226171101,0.0,0.0,0.0,0.3,0.0,0.0,0.4,99.2
20190226171131,0.0,0.0,0.0,0.3,0.0,0.0,0.3,99.4
20190226171201,0.0,0.0,0.0,0.2,0.0,0.0,0.5,99.3
20190226171231,0.0,0.0,0.0,0.5,0.0,0.0,0.8,98.7
20190226171301,0.0,0.0,0.0,0.3,0.0,0.0,0.8,98.9
20190226171331,0.0,0.0,0.0,0.3,0.0,0.0,1.4,98.3
20190226171401,0.0,0.0,0.0,0.4,0.0,0.0,2.3,97.2
20190226171431,0.0,0.0,0.0,0.3,0.0,0.0,2.6,97.1
20190226171501,0.0,0.0,0.0,0.3,0.0,0.0,3.9,95.7
20190226171531,0.0,0.0,0.0,0.5,0.0,0.1,4.8,94.6
20190226171601,0.0,0.0,0.0,0.6,0.0,0.1,6.4,92.9
20190226171632,0.0,0.0,0.0,0.4,0.0,0.1,5.5,94.0
20190226171702,0.0,0.0,0.0,0.9,0.0,0.2,19.3,79.6
20190226171732,0.0,0.0,0.0,1.3,0.0,0.1,22.7,75.9
20190226171802,0.0,0.0,0.0,1.5,0.0,0.1,33.8,64.6
20190226171832,0.0,0.0,0.0,1.0,0.0,0.2,46.4,52.4
20190226171902,0.0,0.0,0.0,1.0,0.0,0.1,72.3,26.4
20190226171932,0.0,0.0,0.0,1.3,0.0,0.1,75.8,22.7
20190226172132,0.0,0.0,0.0,0.0,0.0,0.0,0.2,99.8
20190226172202,0.0,0.0,0.0,0.0,0.0,0.0,1.8,98.2
20190226172232,0.0,0.0,0.0,0.0,0.0,0.0,16.5,83.5
20190226172302,0.0,0.0,0.0,0.0,0.0,0.0,21.4,78.6
20190226172332,0.0,0.0,0.0,0.0,0.0,0.0,55.0,45.0
