UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20190307165500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307165931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307170931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307171931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307172001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307172031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307172101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307172131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20190307172201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
