UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20230404190900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404190930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404191931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404192931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404193931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20230404194902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
