UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20141202132100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202132930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20141202133530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
