UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20111021162600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021162700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021162800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021162900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021163900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021164900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021165000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021165100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20111021165200,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9
20111021165300,0.0,0.0,0.0,0.0,0.0,0.0,4.3,95.7
20111021165400,0.0,0.0,0.0,0.0,0.0,0.0,34.2,65.7
20111021165500,0.0,0.0,0.0,0.0,0.0,0.0,21.7,78.3
20111021165600,0.0,0.0,0.0,0.0,0.0,0.0,83.2,16.7
20111021165700,0.0,0.0,0.0,0.0,0.0,0.0,95.5,4.5
